Odds,Win pos,Times
"(26, 3, 15, 9, 26, 'EVENS\n')",,1
"(28, 13, 'EVENS\n', 8, 21, 'EVENS\n')",,1
"(3, 4, 13, 27, 9, 28)",,1
"(23, 7, 7, 3, 5, 14)",,1
"('EVENS\n', 21, 18, 14, 10, 'EVENS\n')",,1
"('EVENS\n', 13, 5, 21, 15, 26)",,1
"(14, 'EVENS\n', 2, 6, 21, 19)",,1
"('EVENS\n', 21, 5, 8, 8, 21)",,1
"(10, 28, 'EVENS\n', 8, 29, 5)",,1
"(16, 30, 'EVENS\n', 3, 9, 9)",,1
"(17, 14, 5, 13, 23, 3)",,1
"('EVENS\n', 16, 8, 29, 14, 'EVENS\n')",,1
"(27, 3, 9, 7, 9, 4)",5,1
"(19, 22, 4, 10, 'EVENS\n', 8)",,1
"(24, 2, 'EVENS\n', 8, 13, 16)",,1
"(13, 2, 10, 3, 30, 26)",,1
"(26, 'EVENS\n', 18, 12, 3, 10)",,1
"(9, 20, 22, 4, 15, 5)",,1
"(5, 'EVENS\n', 12, 15, 26, 20)",,1
"(3, 7, 21, 4, 19, 7)",,1
"(12, 5, 'EVENS\n', 24, 25, 10)",,1
"(9, 13, 2, 3, 30, 23)",,1
"(19, 5, 10, 13, 26, 'EVENS\n')",,1
"(5, 20, 21, 8, 14, 2)",,1
"(27, 5, 3, 15, 19, 12)",,1
"(10, 15, 23, 23, 5, 3)",,1
"(3, 2, 22, 7, 12, 21)",,1
"(18, 13, 2, 'EVENS\n', 10, 16)",,1
"(23, 21, 5, 8, 4, 15)",4,1
"(13, 4, 12, 25, 21, 4)",1,1
"(3, 6, 13, 25, 5, 19)",,1
"(30, 23, 13, 5, 7, 2)",,1
"(24, 4, 4, 25, 13, 8)",1,1
"(15, 23, 2, 8, 24, 3)",,1
"('EVENS\n', 13, 12, 'EVENS\n', 26, 30)",,1
"(2, 19, 9, 13, 2, 18)",,1
"(4, 20, 14, 'EVENS\n', 14, 17)",0,1
"(15, 24, 3, 4, 10, 27)",,1
"(4, 4, 8, 15, 19, 21)",0,1
"(18, 3, 9, 'EVENS\n', 10, 21)",,1
"('EVENS\n', 22, 16, 15, 15, 2)",,1
"(13, 15, 21, 'EVENS\n', 'EVENS\n', 22)",,1
"(4, 12, 'EVENS\n', 18, 10, 23)",0,1
"(16, 'EVENS\n', 15, 5, 23, 13)",,1
"(7, 2, 2, 7, 7, 20)",,1
"(7, 'EVENS\n', 25, 3, 18, 13)",,1
"(7, 16, 23, 2, 'EVENS\n', 6)",,1
"(25, 12, 3, 9, 5, 23)",,1
"(30, 6, 3, 19, 2, 8)",,1
"(22, 5, 2, 12, 13, 25)",,1
"(4, 28, 7, 7, 29, 5)",0,1
"(19, 'EVENS\n', 24, 8, 12, 5)",,1
"(15, 2, 29, 5, 20, 8)",,1
"(10, 21, 8, 30, 3, 5)",,1
"(22, 17, 'EVENS\n', 13, 6, 4)",,1
"('EVENS\n', 8, 3, 21, 21, 13)",,1
"(14, 22, 8, 7, 'EVENS\n', 3)",,1
"(4, 20, 15, 14, 25, 2)",,1
"(23, 7, 2, 4, 6, 16)",,1
"(27, 'EVENS\n', 'EVENS\n', 14, 10, 24)",,1
"(22, 2, 8, 10, 27, 5)",,1
"(24, 'EVENS\n', 15, 27, 2, 14)",,1
"(13, 5, 26, 'EVENS\n', 19, 7)",,1
"(17, 27, 15, 3, 13, 4)",,1
"(3, 15, 27, 6, 18, 4)",,1
"(15, 4, 30, 5, 13, 22)",,1
"(27, 3, 4, 8, 15, 25)",,1
"(14, 17, 12, 3, 2, 25)",,1
"(2, 25, 9, 7, 10, 4)",,1
